age,gender,cancelled_trips,days_since_last_trip,churned,signup_channel,income_level,payment_method,device_type,total_cancelled_trips,net_platform_revenue,avg_duration_min,promo_used_avg,total_promo_cost,avg_discount_value,avg_driver_burden,driver_borne_total,driver_burden_ratio,promo_used_rate,promo_dependency,revenue_quartile,promo_intensity_q,signup_month,last_trip_month,is_inactive_20d,is_inactive_30d,recency_bucket,is_high_value,high_value_and_inactive,low_engagement_and_recent,usage_intensity_score,segment
19,Other,7,20,0,Ads,high,Debit Card,iOS,9,264.26,25.865079365079364,0.1428571428571428,63.76,11.586666666666666,0.9599999999999996,2.09,0.0317388003037205,0.0952380952380952,1,Q4,Mid-High,2024-04,2025-12,1,0,Mid-Inactive,1,1,0,0.5705128205128205,3
61,Other,0,44,0,Partnership,high,Credit Card,iOS,4,227.65,24.996153846153845,0.1538461538461538,66.15,14.035000000000002,3.01,0.4199999999999999,0.0063091482649842,0.1153846153846153,1,Q4,Mid-High,2023-10,2025-12,1,1,Inactive,1,1,0,0.530448717948718,3
31,Male,1,4,0,Ads,high,Cash,iOS,2,204.98,24.81914893617021,0.2553191489361702,57.6,9.81875,2.61875,3.5700000000000003,0.0583619421284943,0.1702127659574468,1,Q4,High,2025-01,2025-12,0,0,Recent,1,0,1,0.31463675213675213,4
55,Female,3,7,0,Ads,low,Cash,Android,6,111.27,26.46136363636364,0.2272727272727272,99.69,18.787142857142857,4.545714285714285,3.619999999999999,0.0350401703610492,0.1590909090909091,1,Q2,High,2025-03,2025-12,0,0,Recent,0,0,1,0.4893162393162393,4
27,Male,2,33,0,Referral,medium,Credit Card,Android,4,84.84,25.716666666666665,0.1,33.379999999999995,12.253333333333332,1.1266666666666667,3.92,0.1050938337801608,0.1,1,Q1,Mid-High,2025-09,2025-12,1,1,Inactive,0,0,0,0.36004273504273504,0
40,Female,3,1,0,Referral,high,Cash,Web,3,128.95,21.88387096774193,0.2258064516129032,36.95,17.393333333333334,5.076666666666667,10.39,0.2194761301225179,0.0967741935483871,1,Q3,Mid-High,2024-01,2025-11,0,0,Recent,0,0,1,0.3504273504273504,4
42,Male,5,12,0,Organic,high,Debit Card,Web,4,205.14,25.182222222222222,0.1333333333333333,13.95,8.365,1.39,5.380000000000001,0.2783238489394723,0.0444444444444444,0,Q4,Low,2024-10,2025-12,0,0,Mid-Recent,1,0,1,0.25747863247863245,2
20,Other,0,52,0,Organic,high,Credit Card,iOS,8,210.08,23.078000000000003,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,Q4,Low,2024-06,2025-12,1,1,Inactive,1,1,0,0.5357905982905983,3
42,Female,5,4,0,Organic,high,Debit Card,Android,10,243.59,26.82241379310345,0.1724137931034483,55.13,18.06,4.2775,0.0,0.0,0.0689655172413793,0,Q4,Mid-Low,2024-06,2025-12,0,0,Recent,1,0,1,0.5213675213675213,1
31,Other,3,49,1,Referral,medium,Debit Card,Web,3,58.96,25.794117647058822,0.1764705882352941,23.44,11.66,-0.06,0.7899999999999991,0.0326042096574494,0.1176470588235294,1,Q1,High,2025-01,2025-12,1,1,Inactive,0,0,0,0.18643162393162394,0
