age,gender,cancelled_trips,days_since_last_trip,churned,signup_channel,income_level,total_cancelled_trips,net_platform_revenue,avg_duration_min,promo_used_avg,total_promo_cost,avg_discount_value,avg_driver_burden,driver_borne_total,driver_burden_ratio,promo_used_rate,promo_dependency,revenue_quartile,promo_intensity_q,signup_month,last_trip_month,is_inactive_20d,is_inactive_30d,recency_bucket,is_high_value,high_value_and_inactive,low_engagement_and_recent,usage_intensity_score
19,Other,7,20,0,Ads,high,9,264.26,25.865079365079364,0.1428571428571428,63.76,11.586666666666666,0.9599999999999996,5.759999999999998,0.0828538550057537,0.0952380952380952,1,Q4,Mid-High,2024-04,2025-12,1,0,Mid-Inactive,1,1,0,0.5705128205128205
61,Other,0,44,0,Partnership,high,4,227.65,24.996153846153845,0.1538461538461538,66.14999999999999,14.035000000000002,3.01,18.06,0.2144638403990025,0.1153846153846153,1,Q4,Mid-High,2023-10,2025-12,1,1,Inactive,1,1,0,0.530448717948718
31,Male,1,4,0,Ads,high,2,204.98,24.81914893617021,0.2553191489361702,57.6,9.81875,2.67875,21.43,0.2711628495508035,0.1702127659574468,1,Q4,High,2025-01,2025-12,0,0,Recent,1,0,1,0.31463675213675213
55,Female,3,7,0,Ads,low,6,111.27,26.46136363636364,0.2272727272727272,99.69,18.787142857142857,4.767142857142858,33.370000000000005,0.2507891176912671,0.1590909090909091,1,Q2,High,2025-03,2025-12,0,0,Recent,0,0,1,0.4893162393162393
27,Male,2,33,0,Referral,medium,4,84.84,25.716666666666665,0.1,33.38,12.253333333333332,1.1266666666666667,3.38,0.0919477693144722,0.1,1,Q1,Mid-High,2025-09,2025-12,1,1,Inactive,0,0,0,0.36004273504273504
40,Female,3,1,0,Referral,high,3,128.95,21.88387096774193,0.2258064516129032,36.95,17.393333333333334,5.076666666666667,15.23,0.2918742813338443,0.0967741935483871,1,Q3,Mid-High,2024-01,2025-11,0,0,Recent,0,0,1,0.3504273504273504
42,Male,5,12,0,Organic,high,4,205.14,25.182222222222222,0.1333333333333333,13.95,8.365,1.39,2.78,0.1661685594739987,0.0444444444444444,0,Q4,Low,2024-10,2025-12,0,0,Mid-Recent,1,0,1,0.25747863247863245
20,Other,0,52,0,Organic,high,8,210.08,23.078000000000003,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,Q4,Low,2024-06,2025-12,1,1,Inactive,1,1,0,0.5357905982905983
42,Female,5,4,0,Organic,high,10,243.59,26.82241379310345,0.1724137931034483,55.13,18.06,4.2775,17.11,0.2368493909191583,0.0689655172413793,0,Q4,Mid-Low,2024-06,2025-12,0,0,Recent,1,0,1,0.5213675213675213
31,Other,3,49,1,Referral,medium,3,58.96,25.794117647058822,0.1764705882352941,23.44,11.66,0.145,0.29,0.012220817530552,0.1176470588235294,1,Q1,High,2025-01,2025-12,1,1,Inactive,0,0,0,0.18643162393162394
28,Female,2,6,0,Organic,medium,6,137.7,24.846666666666664,0.2222222222222222,74.58,12.872857142857145,2.3485714285714283,16.439999999999998,0.1806196440342781,0.1555555555555555,1,Q3,High,2025-04,2025-12,0,0,Recent,0,0,1,0.3060897435897436
67,Male,2,17,0,Referral,medium,9,100.72,27.944736842105264,0.1578947368421052,75.71000000000001,14.863333333333337,2.2999999999999994,13.799999999999995,0.1541727181320522,0.1578947368421052,1,Q2,High,2024-01,2025-12,0,0,Mid-Inactive,0,0,0,0.42895299145299143
22,Male,0,37,0,Ads,medium,4,91.78,22.7,0.1515151515151515,26.03,11.323333333333332,2.646666666666666,7.939999999999999,0.2337356491021489,0.0909090909090909,1,Q2,Mid-High,2025-02,2025-12,1,1,Inactive,0,0,0,0.4284188034188034
27,Female,5,1,0,Ads,low,5,109.44,24.661363636363635,0.0909090909090909,9.6,3.376666666666667,0.2766666666666668,0.8300000000000005,0.0795781399808246,0.0681818181818181,0,Q2,Mid-Low,2024-05,2025-12,0,0,Recent,0,0,1,0.517094017094017
45,Other,2,1,0,Organic,medium,9,95.82,23.575000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Q2,Low,2025-09,2025-12,0,0,Recent,0,0,1,0.28846153846153844
49,Male,6,22,0,Referral,medium,6,113.16,23.152380952380952,0.2142857142857142,53.16,13.36,2.776,13.88,0.2070405727923627,0.119047619047619,1,Q2,High,2023-05,2025-11,1,0,Mid-Inactive,0,0,0,0.3210470085470085
68,Other,5,18,0,Referral,medium,8,163.68,26.490384615384617,0.1346153846153846,33.02,11.0675,2.8400000000000003,11.36,0.2559711581793601,0.0769230769230769,0,Q3,Mid-Low,2023-11,2025-11,0,0,Mid-Inactive,0,0,0,0.6346153846153846
47,Other,2,12,0,Referral,medium,7,70.83,28.515384615384612,0.2307692307692307,64.91,18.312,5.33,26.65,0.2910659676714722,0.1923076923076923,1,Q1,High,2025-08,2025-12,0,0,Mid-Recent,0,0,1,0.32905982905982906
66,Female,2,15,0,Referral,medium,4,94.59,25.37878787878788,0.0606060606060606,5.970000000000001,4.109999999999999,1.1249999999999998,2.25,0.2737226277372262,0.0606060606060606,0,Q2,Mid-Low,2024-10,2025-11,0,0,Mid-Inactive,0,0,0,0.5256410256410255
