trip_id,customer_id,promo_id,promo_name,redeemed_date,promo_cost
TRIP0032098,CUST00760,PROMO0038,Black Friday,2025-06-05,9.91
TRIP0118751,CUST02816,PROMO0016,Holiday Rush,2024-04-01,7.58
TRIP0040302,CUST00951,PROMO0013,Senior Special,2025-10-16,9.67
TRIP0042431,CUST01000,PROMO0023,Student Discount,2025-09-07,8.38
TRIP0031258,CUST00740,PROMO0000,Christmas Bonus,2025-10-25,8.36
TRIP0036103,CUST00854,PROMO0007,Valentine's Special,2025-07-25,15.61
TRIP0072774,CUST01735,PROMO0014,Valentine's Special,2025-12-12,13.62
TRIP0111727,CUST02658,PROMO0006,Refer & Earn,2023-10-29,17.65
TRIP0061543,CUST01467,PROMO0000,Christmas Bonus,2025-11-06,11.49
TRIP0087330,CUST02079,PROMO0024,Student Discount,2025-09-01,27.58
TRIP0032228,CUST00763,PROMO0029,Group Ride Deal,2025-07-10,3.52
TRIP0033082,CUST00783,PROMO0032,Refer & Earn,2023-04-28,10.74
TRIP0011993,CUST00282,PROMO0031,Business Class,2024-08-22,13.67
TRIP0032840,CUST00777,PROMO0002,Back to School,2024-06-29,1.63
TRIP0120396,CUST02853,PROMO0037,Premium Pass,2025-02-17,7.4
TRIP0010814,CUST00255,PROMO0021,Holiday Rush,2025-02-15,21.2
TRIP0072612,CUST01731,PROMO0004,Black Friday,2025-01-03,2.89
TRIP0119305,CUST02828,PROMO0031,Business Class,2024-08-30,14.71
TRIP0049533,CUST01172,PROMO0015,City Explorer,2025-05-05,20.38
TRIP0004455,CUST00109,PROMO0005,Premium Pass,2024-06-21,17.36
TRIP0024716,CUST00586,PROMO0012,Back to School,2025-08-01,6.26
TRIP0055438,CUST01319,PROMO0038,Black Friday,2024-10-06,11.41
TRIP0098414,CUST02336,PROMO0005,Premium Pass,2024-12-03,21.79
TRIP0023786,CUST00562,PROMO0008,Business Class,2025-06-25,29.8
TRIP0048732,CUST01152,PROMO0037,Premium Pass,2024-10-02,5.48
TRIP0055700,CUST01325,PROMO0013,Senior Special,2025-08-03,7.13
TRIP0115290,CUST02738,PROMO0000,Christmas Bonus,2025-11-13,10.35
TRIP0044330,CUST01048,PROMO0006,Refer & Earn,2023-10-11,10.05
TRIP0053231,CUST01258,PROMO0012,Back to School,2025-05-19,12.49
TRIP0033157,CUST00785,PROMO0013,Senior Special,2025-10-10,7.73
TRIP0115756,CUST02751,PROMO0031,Business Class,2024-08-19,12.52
TRIP0111268,CUST02645,PROMO0011,Corporate Account,2025-08-14,17.36
TRIP0079003,CUST01882,PROMO0004,Black Friday,2025-01-20,4.06
TRIP0036518,CUST00865,PROMO0002,Back to School,2024-06-27,2.19
TRIP0105029,CUST02496,PROMO0024,Student Discount,2025-04-27,30.2
TRIP0071598,CUST01706,PROMO0015,City Explorer,2025-04-28,21.24
TRIP0014612,CUST00349,PROMO0029,Group Ride Deal,2025-09-22,2.88
TRIP0023652,CUST00559,PROMO0016,Holiday Rush,2025-08-25,8.48
TRIP0100379,CUST02383,PROMO0027,Business Class,2025-11-25,9.17
TRIP0095311,CUST02262,PROMO0024,Student Discount,2025-04-23,20.04
TRIP0047021,CUST01110,PROMO0017,Christmas Bonus,2024-05-22,15.45
TRIP0001388,CUST00034,PROMO0027,Business Class,2025-12-07,14.7
TRIP0112558,CUST02677,PROMO0011,Corporate Account,2025-07-20,18.29
TRIP0095034,CUST02256,PROMO0033,New User Welcome,2024-02-05,15.17
TRIP0030077,CUST00711,PROMO0021,Holiday Rush,2025-03-01,17.28
TRIP0016720,CUST00400,PROMO0022,Refer & Earn,2024-11-06,6.28
TRIP0019186,CUST00453,PROMO0007,Valentine's Special,2025-04-17,13.04
TRIP0118584,CUST02813,PROMO0031,Business Class,2024-05-19,12.88
TRIP0075349,CUST01796,PROMO0000,Christmas Bonus,2025-11-13,12.2
TRIP0118757,CUST02817,PROMO0010,Christmas Bonus,2024-02-19,13.27
TRIP0084239,CUST02007,PROMO0012,Back to School,2025-05-30,12.66
TRIP0037645,CUST00889,PROMO0033,New User Welcome,2025-09-24,13.41
TRIP0009976,CUST00237,PROMO0029,Group Ride Deal,2025-07-13,2.93
TRIP0101315,CUST02407,PROMO0007,Valentine's Special,2025-09-27,20.18
TRIP0056393,CUST01341,PROMO0037,Premium Pass,2023-11-28,4.61
TRIP0119699,CUST02837,PROMO0021,Holiday Rush,2025-09-15,13.17
TRIP0043018,CUST01014,PROMO0005,Premium Pass,2024-06-26,17.15
TRIP0091641,CUST02179,PROMO0005,Premium Pass,2025-08-14,19.53
TRIP0035130,CUST00833,PROMO0001,Christmas Bonus,2025-06-15,18.85
TRIP0107513,CUST02558,PROMO0021,Holiday Rush,2025-09-07,21.92
TRIP0042369,CUST00999,PROMO0031,Business Class,2025-08-23,9.09
TRIP0111936,CUST02662,PROMO0003,Spring Break,2025-06-04,11.71
TRIP0072248,CUST01723,PROMO0007,Valentine's Special,2025-04-15,21.41
TRIP0028070,CUST00665,PROMO0038,Black Friday,2023-08-13,7.28
TRIP0060974,CUST01454,PROMO0013,Senior Special,2025-10-06,14.15
TRIP0123077,CUST02913,PROMO0004,Black Friday,2025-01-10,2.71
TRIP0067207,CUST01604,PROMO0031,Business Class,2025-09-08,14.41
TRIP0026424,CUST00625,PROMO0025,Birthday Bonus,2025-02-07,5.84
TRIP0121183,CUST02870,PROMO0000,Christmas Bonus,2025-08-06,7.33
TRIP0106942,CUST02544,PROMO0000,Christmas Bonus,2025-11-17,10.44
TRIP0007578,CUST00182,PROMO0000,Christmas Bonus,2025-11-20,8.44
TRIP0022261,CUST00527,PROMO0027,Business Class,2025-08-21,12.99
TRIP0106214,CUST02526,PROMO0012,Back to School,2024-12-02,7.35
TRIP0047059,CUST01111,PROMO0018,Business Class,2023-09-27,1.79
TRIP0080333,CUST01913,PROMO0026,Seasonal Promo,2025-04-25,23.35
TRIP0026379,CUST00624,PROMO0018,Business Class,2025-04-10,3.7
TRIP0068506,CUST01634,PROMO0010,Christmas Bonus,2024-04-17,11.34
TRIP0040192,CUST00949,PROMO0033,New User Welcome,2024-02-03,18.29
TRIP0099897,CUST02373,PROMO0027,Business Class,2025-11-23,9.53
TRIP0091666,CUST02180,PROMO0020,Halloween Treat,2024-10-25,1.76
TRIP0089039,CUST02118,PROMO0035,Flash Sale,2025-08-22,15.49
TRIP0105051,CUST02497,PROMO0004,Black Friday,2025-09-15,2.67
TRIP0039708,CUST00939,PROMO0017,Christmas Bonus,2025-08-13,20.61
TRIP0094601,CUST02247,PROMO0014,Valentine's Special,2025-09-19,20.08
TRIP0036666,CUST00866,PROMO0022,Refer & Earn,2024-10-29,5.9
TRIP0087730,CUST02090,PROMO0017,Christmas Bonus,2024-06-18,13.29
TRIP0003710,CUST00090,PROMO0038,Black Friday,2024-07-19,8.37
TRIP0050862,CUST01204,PROMO0027,Business Class,2025-11-28,10.45
TRIP0014506,CUST00346,PROMO0013,Senior Special,2025-10-18,7.63
TRIP0100365,CUST02382,PROMO0000,Christmas Bonus,2025-11-07,7.11
TRIP0116001,CUST02757,PROMO0037,Premium Pass,2025-02-03,6.6
TRIP0033656,CUST00796,PROMO0018,Business Class,2025-03-17,2.73
TRIP0121884,CUST02885,PROMO0000,Christmas Bonus,2025-11-10,6.4
TRIP0038263,CUST00902,PROMO0021,Holiday Rush,2024-11-14,19.01
