trip_id,customer_id,driver_id,city,pickup_area,dropoff_area,trip_datetime,trip_status,distance_km,duration_min,fare_amount,platform_revenue,driver_payout,promo_used,surge_multiplier
TRIP0000001,CUST00000,DRV9390,London,Shoreditch,Camden,2025-06-04 18:36:00,completed,6.24,15.0,21.02,5.26,15.76,0,1.0
TRIP0000002,CUST00000,DRV5967,London,Brixton,Hackney,2025-06-04 14:03:00,completed,3.4,37.4,20.27,5.07,15.2,0,1.5
TRIP0000003,CUST00000,DRV1592,London,Kensington,Brixton,2025-12-13 07:19:00,completed,2.47,24.8,10.63,2.66,7.97,1,1.0
TRIP0000004,CUST00000,DRV6016,London,Hackney,Greenwich,2025-07-22 07:12:00,completed,2.69,37.8,18.51,4.63,13.88,0,1.0
TRIP0000005,CUST00000,DRV1139,London,Canary Wharf,Greenwich,2024-11-06 17:22:00,cancelled,9.58,19.9,2.232,0.56,1.67,0,1.0
TRIP0000006,CUST00000,DRV8432,London,Hammersmith,Hackney,2025-03-02 08:10:00,completed,1.82,39.7,26.02,6.5,19.52,0,1.2
TRIP0000007,CUST00000,DRV3206,London,Shoreditch,Canary Wharf,2024-11-07 09:24:00,completed,7.73,15.3,18.64,4.66,13.98,0,1.0
TRIP0000008,CUST00000,DRV3406,London,Camden,Shoreditch,2025-07-15 07:18:00,completed,10.63,27.6,22.08,5.52,16.56,0,1.0
TRIP0000009,CUST00000,DRV3251,London,Canary Wharf,Greenwich,2025-01-13 17:42:00,cancelled,12.21,17.9,4.056,1.01,3.05,1,1.2
TRIP0000010,CUST00000,DRV3478,London,Richmond,Brixton,2025-04-13 19:17:00,completed,2.8,22.8,7.0,1.75,5.25,0,1.0
TRIP0000011,CUST00000,DRV1643,London,Richmond,Hammersmith,2024-08-08 08:40:00,completed,4.5,39.0,20.57,5.14,15.43,1,1.0
TRIP0000012,CUST00000,DRV7677,London,Greenwich,Camden,2025-10-25 23:47:00,completed,8.06,15.3,6.53,1.63,4.9,0,1.0
TRIP0000013,CUST00000,DRV2386,London,Canary Wharf,Brixton,2024-09-25 20:58:00,completed,5.1,,9.23,2.31,6.92,1,1.2
TRIP0000014,CUST00000,DRV4293,London,Hackney,Kensington,2025-12-02 21:14:00,completed,3.01,5.4,20.33,5.08,15.25,0,1.0
TRIP0000015,CUST00000,DRV3195,London,Brixton,Canary Wharf,2025-11-21 10:56:00,completed,3.17,35.0,10.91,2.73,8.18,0,1.0
TRIP0000016,CUST00000,DRV6990,London,Greenwich,Shoreditch,2025-02-09 21:56:00,completed,1.45,25.0,21.13,5.28,15.85,0,1.0
TRIP0000017,CUST00000,DRV4684,London,Brixton,Hammersmith,2024-06-24 18:15:00,completed,11.69,6.6,18.94,4.74,14.2,0,1.0
TRIP0000018,CUST00000,DRV1569,London,Kensington,Canary Wharf,2025-01-03 08:52:00,completed,3.35,10.2,13.15,3.29,9.86,0,1.0
TRIP0000019,CUST00000,DRV6993,London,Camden,Shoreditch,2024-12-29 21:45:00,cancelled,10.07,36.6,1.834,0.46,1.37,0,1.0
TRIP0000020,CUST00000,DRV7125,London,Greenwich,Hackney,2025-10-20 17:01:00,completed,10.87,36.1,24.4,6.1,18.3,0,1.0
TRIP0000021,CUST00000,DRV7396,London,Brixton,Richmond,2025-01-25 01:49:00,cancelled,11.55,,5.284000000000001,1.32,3.96,0,1.0
TRIP0000022,CUST00000,DRV8430,London,Kensington,Richmond,2025-11-25 10:21:00,completed,11.66,6.0,13.25,3.31,9.94,0,1.0
TRIP0000023,CUST00000,DRV6496,London,Hammersmith,Kensington,2025-06-12 09:46:00,completed,11.53,22.4,6.69,1.67,5.02,0,1.0
TRIP0000024,CUST00000,DRV7073,London,Brixton,Canary Wharf,2024-11-17 16:27:00,completed,3.85,,18.97,4.74,14.23,0,1.0
TRIP0000025,CUST00000,DRV7335,London,Greenwich,Kensington,2025-11-25 10:25:00,completed,4.83,11.0,27.58,6.9,20.68,0,1.2
TRIP0000026,CUST00000,DRV4418,London,Hackney,Camden,2025-09-23 05:27:00,completed,7.67,36.7,22.72,5.68,17.04,0,1.0
TRIP0000027,CUST00000,DRV6623,London,Shoreditch,Camden,2025-02-08 16:11:00,completed,6.85,20.2,11.84,2.96,8.88,0,1.0
TRIP0000028,CUST00000,DRV1129,London,Brixton,Westminster,2025-02-13 15:34:00,completed,9.41,39.2,25.45,6.36,19.09,1,1.0
TRIP0000029,CUST00000,DRV2434,London,Brixton,Kensington,2025-12-04 18:32:00,completed,11.44,40.7,24.37,6.09,18.28,0,1.0
TRIP0000030,CUST00000,DRV3336,London,Shoreditch,Greenwich,2025-04-11 10:38:00,completed,9.93,26.3,17.56,4.39,13.17,1,1.0
TRIP0000031,CUST00000,DRV5949,London,Brixton,Greenwich,2025-03-23 21:25:00,completed,1.09,27.9,21.98,5.5,16.48,0,1.5
TRIP0000032,CUST00000,DRV4924,London,Shoreditch,Camden,2025-07-28 00:54:00,completed,6.67,6.2,26.87,6.72,20.15,0,1.2
TRIP0000033,CUST00000,DRV4925,London,Greenwich,Kensington,2024-05-10 16:08:00,cancelled,5.56,6.8,2.1780000000000004,0.54,1.64,0,1.0
TRIP0000034,CUST00000,DRV3975,London,Hammersmith,Camden,2025-05-08 16:17:00,completed,12.85,36.7,21.92,5.48,16.44,0,1.5
TRIP0000035,CUST00000,DRV5338,London,Camden,Brixton,2025-05-26 07:03:00,cancelled,6.29,37.4,5.460000000000001,1.37,4.09,0,1.0
TRIP0000036,CUST00000,DRV3579,London,Hammersmith,Canary Wharf,2025-11-05 20:15:00,completed,,13.4,21.46,5.36,16.1,0,1.0
TRIP0000037,CUST00000,DRV6189,London,Camden,Brixton,2025-06-26 12:49:00,completed,10.72,28.4,18.23,4.56,13.67,0,1.2
TRIP0000038,CUST00000,DRV7760,London,Canary Wharf,Westminster,2025-03-09 20:28:00,completed,5.32,30.6,10.09,2.52,7.57,0,1.2
TRIP0000039,CUST00000,DRV1296,London,Greenwich,Canary Wharf,2024-12-08 19:06:00,cancelled,7.31,30.0,1.868,0.47,1.4,0,1.0
TRIP0000040,CUST00000,DRV9697,London,Richmond,Camden,2024-05-27 23:31:00,completed,6.21,6.0,29.4,7.35,22.05,0,1.2
TRIP0000041,CUST00000,DRV2970,London,Shoreditch,Canary Wharf,2025-04-26 05:59:00,completed,9.26,8.0,8.81,2.2,6.61,0,1.0
